文物采样点,二氧化硅SiO2,氧化钠Na2O,氧化钾K2O,氧化钙CaO,氧化镁MgO,氧化铝Al2O3,氧化铁Fe2O3,氧化铜CuO,氧化铅PbO,氧化钡BaO,五氧化二磷P2O5,氧化锶SrO,氧化锡SnO2,二氧化硫SO2,玻璃类型,情况,situation
02,36.28,0,1.05,2.34,1.18,5.73,1.86,.26,47.43,0,3.57,.19,0,0,铅钡,风化,1
08,20.14,0,0,1.48,0,1.34,0,10.41,28.68,31.23,3.59,.37,0,2.58,铅钡,风化,1
08严重风化点,4.61,0,0,3.19,0,1.11,0,3.14,32.45,30.62,7.56,.53,0,15.03,铅钡,风化,1
11,33.59,0,.21,3.51,.71,2.69,0,4.93,25.39,14.61,9.38,.37,0,0,铅钡,风化,1
19,29.64,0,0,2.93,.59,3.57,1.33,3.51,42.82,5.35,8.83,.19,0,0,铅钡,风化,1
20,37.36,0,.71,0,0,5.45,1.51,4.78,9.3,23.55,5.75,0,0,0,铅钡,无风化,0
23未风化点,53.79,7.92,0,.5,.71,1.42,0,2.99,16.98,11.86,0,.33,0,0,铅钡,无风化,0
24,31.94,0,0,.47,0,1.59,0,8.46,29.14,26.23,.14,.91,0,0,铅钡,无风化,0
25未风化点,50.61,2.31,0,.63,0,1.9,1.55,1.12,31.9,6.65,.19,.2,0,0,铅钡,无风化,0
26,19.79,0,0,1.44,0,.7,0,10.57,29.53,32.25,3.13,.45,0,1.96,铅钡,风化,1
26严重风化点,3.72,0,.4,3.01,0,1.18,0,3.6,29.92,35.45,6.04,.62,0,15.95,铅钡,风化,1
28未风化点,68.08,0,.26,1.34,1,4.7,.41,.33,17.14,4.04,1.04,.12,.23,0,铅钡,无风化,0
29未风化点,63.3,.92,.3,2.98,1.49,14.34,.81,.74,12.31,2.03,.41,.25,0,0,铅钡,无风化,0
30部位1,34.34,0,1.41,4.49,.98,4.35,2.12,0,39.22,10.29,0,.35,.4,0,铅钡,无风化,0
30部位2,36.93,0,0,4.24,.51,3.86,2.74,0,37.74,10.35,1.41,.48,.44,0,铅钡,无风化,0
31,65.91,0,0,1.6,.89,3.11,4.59,.44,16.55,3.42,1.62,.3,0,0,铅钡,无风化,0
