制作公司（母）,子分类,游戏名称,游戏译名,发售日,汉化组,汉化进度,备注,DL推荐,官网,其他网址
AUGUST（オーガスト）,,バイナリィ?ポット -Binary Pot-,Binary Pot,2002/2/22,AUGUST中文化委員會,漢化完成,,,,
AUGUST（オーガスト）,,Princess Holiday～転がるりんご亭千夜一夜～,公主假日～回轉蘋果亭的一千零一夜～,2002/9/27,AUGUST中文化委員會,漢化完成,,,,
AUGUST（オーガスト）,,オーガスティック エトセトラ,Augustic.etc.,2002/7/19,AUGUST中文化委員會,漢化完成,待補,,,
AUGUST（オーガスト）,,月は東に日は西に～Operation Sanctuary～,夜月東升?暮日西沉、月東日西,2003/9/26,AUGUST中文化委員會,漢化完成,,,,
AUGUST（オーガスト）,,オーガストファンBOX,August Fan Box,2004/8/27,AUGUST中文化委員會,漢化完成,,,,
AUGUST（オーガスト）,,夜明け前より瑠璃色な,夜明前的琉璃色,2005/9/22,月桂琉璃漢化組,漢化完成,,,,
AUGUST（オーガスト）,,FORTUNE ARTERIAL,赤色的約定,2008/1/25,月桂琉璃&妹乃萌汉化组,漢化完成,,,,
AUGUST（オーガスト）,,夜明け前より瑠璃色な -Moonlight Cradle-,夜明前的琉璃色 -Moonlight Cradle-,2009/2/27,CK-GAL中文化小組,漢化完成,,,,
AUGUST（オーガスト）,,穢翼のユースティア,穢翼的尤斯蒂婭,2011/7/29,魔法少年えすか☆エムカ  &  月桂琉璃漢化组  &  澄空學園AUGUST學部,漢化完成,,,,
AUGUST（オーガスト）,,大図書館の羊飼い,大圖書館的飼羊人,2013/1/25,杏子御津愛護同好會,漢化完成,,,,
AUGUST（オーガスト）,,大図書館の羊飼い ～放課後しっぽデイズ～,大圖書館的牧羊人 ～課餘的尾巴時光～,2013/8/10,,漢化完成,,,,
AUGUST（オーガスト）,,大図書館の羊飼い -Dreaming Sheep-,大圖書館的牧羊人 -Dreaming Sheep-,2014/3/28,萌羊八月同好會,漢化完成,,,,
AUGUST（オーガスト）,,千の刃濤、桃花染の皇姫,千之刃濤，桃花染之皇姬,2016/9/23,彌生月漢化組,漢化完成,,,,
AUGUST（オーガスト）,,千の刃濤、桃花染の皇姫‐花あかり‐,千之刃濤，桃花染之皇姬 -柳暗花明-,2019/9/27,彌生月漢化組,漢化完成,,,,
,,,,,,,,,,
AKABEiSOFT2,,その横顔を見つめてしまう,凝視那側臉,2005/1/21,薄荷漢化組,部分漢化,Ver0.36,,,
AKABEiSOFT2,AKABEiSOFT2,車輪の国、向日葵の少女,車輪之國、向日葵的少女,2005/11/25,回憶之風漢化組,漢化完成,,,,
AKABEiSOFT2,AKABEiSOFT2,車輪の国、悠久の少年少女,車輪之國、悠久的少年少女,2007/1/26,風鈴漢化組,漢化完成,,,,
AKABEiSOFT2,AKABEiSOFT2,G線上の魔王,G弦上的魔王,2008/5/29,G弦上的魔王漢化委員會,漢化完成,,,,
AKABEiSOFT2,AKABEiSOFT2,W.L.O. 世界恋愛機構,W.L.O. 世界戀愛機構,2009/3/26,個人漢化,部分漢化,已棄坑,,,
AKABEiSOFT2,,ぼくの一人戦争,我的一人戰爭,2015/2/27,萌你妹漢化組,漢化完成,,,,
AKABEiSOFT2,,母性カノジョ -子宮 帰還編-,母性女友,2018/3/30,默示漢化組,漢化完成,,,,
AKABEiSOFT2,,ああっママになるっ！ ～アナタを想って溢れるおっぱい～,母愛如山 胸中無法壓抑對你的愛,2019/3/29,天堂巴比倫漢化組 / 默示漢化組,漢化完成,,,,
AKABEiSOFT3,しゃんぐりら,暁の護衛,曉之護衛,2008/3/27,曉之護衛漢化組,漢化完成,,,,
AKABEiSOFT3,しゃんぐりら,暁の護衛～プリンシパルたちの休日～,曉之護衛?主角們的休息日?,2008/12/25,曉之護衛漢化組,漢化完成,,,,
AKABEiSOFT3,しゃんぐりら,暁の護衛～罪深き終末論～,曉之護衛?重罪末世論?,2010/4/28,曉護2015臨時漢化組 / 萌空漢化組,漢化完成,,,,
AKABEiSOFT3,AKABEiSOFT3,できない私が、くり返す。,若能與你再次相見 / 時鐘物語,2014/8/29,X'moe漢化組 / 待補,部分漢化,"缺兩線漢化, 前者已棄坑",,http://www.akabeesoft3.com/products/timeleap/index.html,
AKABEiSOFT3,,聖騎士Melty☆Lovers,聖騎士 Melty☆Lovers,2015/9/18,默示遊戲中文化興趣小組 / 心願屋漢化組,漢化完成,,,,
AKABEiSOFT3,,オモカゲ ～えっちなハプニング!? なんでもどんとこい！～,思影,2016/3/25,臉腫漢化組,漢化完成,,,,
AKABEiSOFT3,,手垢塗れの天使,被黑暗洗禮的天使,2016/6/24,清隆漢化組,漢化完成,,,,
AKABEiSOFT3,,生命のスペア,生命的備份,2016/8/26,清隆漢化組 / 楓江漢化組,漢化完成,,,,
AKABEiSOFT3,,竜騎士Bloody?Saga,,2016/12/22,默示遊戲中文化興趣小組,漢化完成,,,,
AKABEiSOFT3,,きゃらぶれーしょん！ ～乙女は恋してキャラぶれる～,charabration！戀愛少女人格崩壞,2018/9/28,希月學園漢化組,漢化完成,,,,
AKABEiSOFT3,,墓多DYINGZOMBIES ～Second Chance for BEAUTIFUL LIVE～,,2020/4/24,待補,漢化完成,機翻,,,
てぃ～ぐる,てぃ～ぐる,レミニセンス,REMINISCENCE,2013/5/31,致我們那已逝去的童年,漢化中,已有體驗版漢化,,,
てぃ～ぐる,てぃ～ぐる,レミニセンス Re：Collect,REMINISCENCE Re：Collect,2014/6/27,心願屋漢化組 / 致我們那已逝去的童年,漢化完成,,,,
,,,,,,,,,,
ALcot,ALcot（アルコット）,幼なじみは大統領 My girlfriend is the PRESIDENT.,幼馴染成了大總統,2009/10/30,Makura Castle x 某未知漢化組聯合漢化,漢化完成,,,,
ALcot,ALcot（アルコット）,鬼ごっこ！,捉迷藏！,2011/3/31,年糕漢化組,漢化完成,,,,
ALcot,ALcot（アルコット）,鬼ごっこ！ ファンディスク,捉迷藏！Fan Disk,2011/9/30,年糕漢化組,漢化完成,,,,
ALcot,ALcot（アルコット）,Triptych,Triptych,2006/4/28,Kumacity&御宅夢域漢化組,部分漢化,,,,
ALcot,ALcot（アルコット）,Clover Day's,在有三叶草的日子里,2014/3/28,星網四葉草調養中心,漢化完成,,,,
ALcot,ALcot（アルコット）,中の人などいない！ トーキョー?ヒーロー?プロジェクト,隱名之人！TOKYO·HERO·PROJECT,2012/8/31,loli-time漢化組,漢化完成,Ver0.9,,,
ALcot,,将軍様はお年頃,將軍大人芳華正茂,2018/1/26,默示中文化興趣小組,漢化完成,,,,
ALcot,,将軍様はお年頃 ふぁんでぃすく -御三家だヨ！ 全員集合-,將軍大人正值妙齡 FD,2019/3/29,希月學園漢化組,漢化完成,,,,
ALcot,,よめがみ Ｍｙ Ｓｗｅｅｔ Ｇｏｄｄｅｓｓ！,神嫁～我的甜心女神！,2016/11/25,心願屋漢化組,漢化完成,,,,
ALcot,,LOVEREC.,心跳攝影.,2015/6/26,默示中文化興趣小組,漢化完成,,,,
ALcot,,LOVEREC. －ミニシアターズ－,心跳攝影.-迷你劇場-,2016/1/29,默示中文化興趣小組,漢化完成,,,,
,,,,,,,,,,
Alcot Honey Comb,ALcot シトラス,死神の接吻は別離の味,死神之吻乃離別之味,2009/4/24,GMH中文化委員會&冥月漢化組,漢化完成,,,,
Alcot Honey Comb,ALcot Honey comb（アルコット ハニカム）,リアル妹がいる大泉くんのばあい,實妹相伴的大泉君,2010/5/28,妹乃萌漢化組,漢化完成,,,,
Alcot Honey Comb,ALcot Honey comb（アルコット ハニカム）,キッキングホース★ラプソディ,踢馬狂想曲,2010/11/26,PRO2漢化組,漢化中,估計已棄坑,,,
Alcot Honey Comb,,春季限定ポコ?ア?ポコ！,春季限定～PoCo·A·PoCo～,2011/11/25,心願屋漢化組 / 冥月漢化組,漢化完成,,,,
Alcot Honey Comb,ALcot Honey comb（アルコット ハニカム）,1/2 summer,1/2 summer,2012/6/29,H5&臉腫漢化組,漢化完成,接坑自半夏同友會,,,
Alcot Honey Comb,ALcot Honey comb（アルコット ハニカム）,あえて無視するキミとの未来 ～Relay broadcast～,硬是要無視與你的未來 ～Relay broadcast～,2012/11/30,綠南廣播部 (隸屬Makura Castle),漢化完成,,,,
Alcot Honey Comb,,サツコイ～悠久なる恋の歌～,殺戀～悠久流傳的戀之歌～,2014/8/29,殺戀漢化委員會,漢化完成,,,,
Alcot Honey Comb,,キミのとなりで恋してる！,慕情之心今隨君作伴,2014/11/28,默示漢化組,漢化完成,,,,
Alcot Honey Comb,,キミのとなりで恋してる！ -THE RESPECTIVE HAPPINESS-,慕情之心今随君作伴 ~The Respective Happiness~,2015/11/27,默示漢化組,漢化完成,,,,
Alcot Honey Comb,,そして初恋が妹になる,緣契初情乃今家舍妹,2016/5/27,默示漢化組,漢化完成,,,,
Alcot Honey Comb,,茜色の境界線,茜色的境界线,2017/6/30,默示漢化組,漢化完成,,,,
Alcot Honey Comb,,彼女は天使で妹で,伊人天使妹側畔,2017/10/27,默示漢化組,漢化完成,,,,
,,,,,,,,,,
ALICESOFT,,RanceVI－ゼス崩壊－,蘭斯6 -傑斯崩壞-,2004/8/27,愛麗絲X哈尼喵漢化組,漢化完成,,,,
ALICESOFT,,戦国ランス,戰國蘭斯,2006/12/15,愛麗絲漢化組,漢化完成,,,,
ALICESOFT,,ランスII　－反逆の少女たち－,蘭斯2 反叛的少女們,2009/12/18,愛麗絲漢化組,漢化完成,收錄於《アリス2010》,,,
ALICESOFT,,ランス01 光をもとめて,蘭斯01 尋找小光,2013/9/27,哈尼喵漢化組 x BSYUA愛護會,漢化完成,,,,
ALICESOFT,,ランス9 ヘルマン革命,蘭斯9 赫爾曼革命,2014/4/25,個人漢化,漢化完成,,,,
ALICESOFT,,ランス03 リーザス陥落,蘭斯03 利澤斯陷落,2015/8/28,哈尼喵漢化組,漢化完成,,,,
ALICESOFT,,ランス5D －ひとりぼっちの女の子－,蘭斯5D 孤單的女孩子,2002/10/25,哈尼喵漢化組,漢化完成,,,,
