肥儿散,君子仁,鸡内金,白术,茯苓,山药,山楂,甘草,,,,,,,,,,,,,,,,,,,,,
青金丹,巴豆,木香,青橘皮,吴茱萸,附子,,,,,,,,,,,,,,,,,,,,,,,
法制橘红,橘红,檀香,白豆蔻,片脑,,,,,,,,,,,,,,,,,,,,,,,,
加味温补通阳方,山药,熟地,麻黄,炮姜,鹿角胶,桂枝,补骨脂,白术,炒陈曲,醋香附,当归,熟附子,山茱萸,木香,生黄耆,骨碎补,鸡血藤,,,,,,,,,,,
驱绦汤,南瓜子肉,槟榔,,,,,,,,,,,,,,,,,,,,,,,,,,
完带汤,白术,山药,人参,白芍,车前子,苍术,甘草,陈皮,黑芥穗,柴胡,,,,,,,,,,,,,,,,,,
六合定中丸,藿香叶,苏叶,厚朴,枳壳,木香,生甘草,檀香,柴胡,羌活,银花叶,赤茯苓,木瓜,,,,,,,,,,,,,,,,
磨积散,神曲,山楂,茯苓,陈皮,麦芽,泽泻,白术,法半夏,藿香,苍术,厚朴,甘草,,,,,,,,,,,,,,,,
健脾补肾汤,党参,川续断,白术,茯苓,白芍,当归,五味子,菟丝子,川厚朴,香附,,,,,,,,,,,,,,,,,,
金蟾丸,干蟾,黄连,芜荑,芦荟,人参,甘草,,,,,,,,,,,,,,,,,,,,,,
芙蓉截流丸,清膏烟,陈米饮,,,,,,,,,,,,,,,,,,,,,,,,,,
自制芙蓉截流丸,清膏烟,陈米饭,,,,,,,,,,,,,,,,,,,,,,,,,,
胰腺清化汤,柴胡,黄芩,白芍,厚朴,枳实,佩兰,金银花,大青叶,大黄,芒消,,,,,,,,,,,,,,,,,,
午时茶,茅术,陈皮,柴胡,连翘,白芷,川朴,枳实,楂肉,羌活,防风,前胡,藿香,甘草,陈茶,桔梗,麦芽,苏叶,建曲,川芎,,,,,,,,,
泽漆汤,半夏,紫参,泽漆,生姜,白前,甘草,黄芩,人参,桂枝,,,,,,,,,,,,,,,,,,,
甘草干姜茯苓白术汤,甘草,白术,干姜,茯苓,,,,,,,,,,,,,,,,,,,,,,,,
苓术二陈煎,猪苓,白术,泽泻,陈皮,半夏,茯苓,炙甘草,干姜,,,,,,,,,,,,,,,,,,,,
藿香正气散,大腹皮,白芷,紫苏,茯苓,半夏曲,白术,陈皮,厚朴,苦梗,藿香,甘草,,,,,,,,,,,,,,,,,
参苓白术散,莲子肉,薏苡仁,缩砂仁,桔梗,白扁豆,白茯苓,人参,甘草,白术,山药,,,,,,,,,,,,,,,,,,
封脐膏,穿山甲,木鳖仁,香油,,,,,,,,,,,,,,,,,,,,,,,,,
肠炎汤2号,禹余粮,赤石脂,制附片,肉桂,干姜,煨诃子,煨肉豆蔻,米壳,补骨脂,党参,焦白术,甘草,,,,,,,,,,,,,,,,
小儿止泻散,苍术炭,白术炭,莲子,炒扁豆,炒山药,通草,茯苓,车前子,煨诃子,煨肉豆蔻,姜厚朴,甘草,,,,,,,,,,,,,,,,
八仙丹,紫苏,青蒿,薄荷,大蒜子,生姜,青梅,甘草,滑石,,,,,,,,,,,,,,,,,,,,
四神丸,肉豆蔻,补骨脂,五味子,吴茱萸,,,,,,,,,,,,,,,,,,,,,,,,
升阳除湿防风汤,苍术,防风,白术,白茯苓,白芍药,,,,,,,,,,,,,,,,,,,,,,,
人参散,人参,白术,黄耆,白茯苓,甘草,肉豆蔻,使君子,胡黄连,宣连,青皮,莪术,,,,,,,,,,,,,,,,,
五味木香丸,木香,白龙骨,诃子肉,赤石脂,肉豆蔻,,,,,,,,,,,,,,,,,,,,,,,
理中加减汤,党参,白术,炮干姜,细辛,吴萸,生姜,,,,,,,,,,,,,,,,,,,,,,
健脾粉,党参,陈曲,砂仁,陈皮,麦芽,炒白术,木香,黄连,甘草,白茯苓,山楂,山药,肉豆蔻,,,,,,,,,,,,,,,
葛根黄芩黄连汤,葛根,甘草,黄芩,黄连,,,,,,,,,,,,,,,,,,,,,,,,
